Title,Subject code,Author,Grade,Type,Edition,Price
(IGCSE) Yearly Unsolved English First Language Paper 1 (S21-W25),0500,,O Level,Yearly Unsolved,S21-W25,3250
(IGCSE) Yearly Unsolved English First Language Paper 2 (S21-W25),0500,,O Level,Yearly Unsolved,S21-W25,1950
(IGCSE) Yearly Unsolved English Second Language Paper 1 (S21-W25),0510,,O Level,Yearly Unsolved,S21-W25,2000
(IGCSE) Yearly Unsolved English Second Language Paper 2 (S21-W25),0510,,O Level,Yearly Unsolved,S21-W25,1350
(IGCSE) Yearly Unsolved Environmental Management Paper 1 (S21-W25),0680,,O Level,Yearly Unsolved,S21-W25,2550
(IGCSE) Yearly Unsolved Environmental Management Paper 2 (S21-W25),0680,,O Level,Yearly Unsolved,S21-W25,2600
(IGCSE) Yearly Unsolved Global Prescriptive Paper 1 (S21-W25),0457,,O Level,Yearly Unsolved,S21-W25,2350
(IGCSE) Yearly Unsolved ICT Paper 1 (S21-W25),0417,,O Level,Yearly Unsolved,S21-W25,2000
(IGCSE) Yearly Unsolved Islamiyat Paper 1 (S21-W25),0493,,O Level,Yearly Unsolved,S21-W25,1900
(IGCSE) Yearly Unsolved Islamiyat Paper 2 (S21-W25),0493,,O Level,Yearly Unsolved,S21-W25,1800
(IGCSE) Yearly Unsolved Mathematics Paper 2 (S21-W25),0580,,O Level,Yearly Unsolved,S21-W25,1700
(IGCSE) Yearly Unsolved Mathematics Paper 4 (S21-W25),0580,,O Level,Yearly Unsolved,S21-W25,2550
(IGCSE) Yearly Unsolved Pak. Studies Paper 1 (S19-S25),0448,,O Level,Yearly Unsolved,S19-S25,450
(IGCSE) Yearly Unsolved Pak. Studies Paper 2 (S19-S25),0448,,O Level,Yearly Unsolved,S19-S25,1000
(IGCSE) Yearly Unsolved Physics Paper 2 (S21-W25),0625,,O Level,Yearly Unsolved,S21-W25,1650
(IGCSE) Yearly Unsolved Physics Paper 4 (S21-W25),0625,,O Level,Yearly Unsolved,S21-W25,2300
(IGCSE) Yearly Unsolved Physics Paper 6 (S21-W25),0625,,O Level,Yearly Unsolved,S21-W25,1500
(IGCSE) Yearly Unsolved Sociology Paper 1 (S21-W25),0495,,O Level,Yearly Unsolved,S21-W25,2000
(IGCSE) Yearly Unsolved Sociology Paper 2 (S21-W25),0495,,O Level,Yearly Unsolved,S21-W25,2500
(IGCSE) Yearly Unsolved Urdu Paper 1 & 2 (S19-S25),0539,,O Level,Yearly Unsolved,S19-S25,750
IGCSE Unsolved Topical Biology Paper 2 (Mcqs) (2025-2026 Edition),0610,,O Level,Yearly Unsolved,S17-W24,1600
IGCSE Unsolved Topical Biology Paper 4 (Theory) (2025-2026 Edition),,,Igcse,,S17-W24,2700
IGCSE Unsolved Topical Biology Paper 6 (ATP) (2025-2026 Edition),,,Igcse,Unsolved Topical,S17-W24,1900
IGCSE Unsolved Topical Chemistry Paper 2 (Mcqs) (2025-2026 Edition),0620,,O Level,Unsolved Topicals,S17-W24,1500
IGCSE Unsolved Topical Chemistry Paper 4 (Theory) (2025-2026 Edition),0620,,O Level,Unsolved Topicals,S17-W24,2050
IGCSE Unsolved Topical Chemistry Paper 6 (ATP) (2025-2026 Edition),0620,,Igcse,Unsolved Topicals,S17-W24,1450
IGCSE Unsolved Topical Maths Paper 2 (2025-2026 Edition),0580,,O Level,Unsolved Topical,S17-W24,2050
IGCSE Unsolved Topical Maths Paper 4 (2025-2026 Edition),0580,,O Level,Unsolved Topical,S17-W24,3050
IGCSE Unsolved Topical Physics Paper 2 (Mcqs) (2025-2026 Edition),,,O Level,Unsolved Topical,S17-W24,1800
IGCSE Unsolved Topical Physics Paper 4 (Theory) (2025-2026 Edition),0625,,O Level,Unsolved Topical,S17-W24,2350
IGCSE Unsolved Topical Physics Paper 6 (ATP) (2025-2026 Edition),0625,,Igcse,Unsolved Topical,S17-W24,1900
